uber_cost,taxi_cost
39.84,39.64
137.48,137.06
178.24,174.77
163.28,162.55
41.38,45.41
198.03,200.76
56.08,58.38
166.02,163.6
71.04,75.55
187.13,188.59
18.27,19.77
41.99,39.11
131.74,136.85
61.57,60.38
180.94,182.48
35.03,32.83
137.57,139.53
89.33,86.7
103.11,103.57
164.43,164.92
184.39,185.16
96.02,95.36
194.09,190.91
115.66,118.82
49.72,52.33
193.02,193.74
104.41,104.31
14.65,12.65
137.76,139.7
161.69,163.87
165.42,164.44
107.12,105.98
87.13,87.76
8.16,6.91
41.05,42.79
169.62,164.29
41.41,44.22
36.57,33.28
106.72,109.71
142.44,146.53
105.47,107.68
184.97,184.81
66.53,70.34
22.65,22.72
32.19,30.7
106.66,105.57
139.05,138.54
34.8,37.42
122.88,122.61
17.09,14.93
28.07,25.96
117.25,119.91
10.9,10.37
20.39,18.06
152.74,150.63
78.4,82.57
158.8,161.96
185.4,183.0
40.9,41.81
95.43,98.22
168.09,170.94
137.75,136.67
108.35,106.21
139.68,142.63
52.45,52.07
170.13,167.25
42.25,39.31
71.86,72.89
41.32,40.86
135.44,136.02
63.73,63.55
38.3,39.93
28.88,26.58
192.82,194.46
147.13,144.55
89.88,87.62
175.06,172.15
125.1,126.76
69.12,66.97
9.27,12.05
194.74,195.74
10.07,8.21
56.14,53.24
183.65,185.91
6.78,11.5
152.66,147.99
47.99,44.16
178.36,179.17
64.4,62.27
158.31,156.37
113.0,113.93
157.47,157.79
46.84,47.06
173.84,173.96
194.2,191.98
33.03,34.91
136.07,135.22
122.61,123.4
18.95,15.87
174.97,171.75
181.43,183.09
163.12,165.85
16.1,14.49
154.51,154.52
62.21,62.76
25.36,29.5
83.62,81.9
177.9,175.35
143.74,142.53
153.69,155.48
125.53,129.63
131.06,133.87
142.6,141.54
43.31,40.68
98.56,95.75
178.98,178.54
177.33,178.71
11.6,9.87
201.79,197.71
117.98,116.7
13.83,13.83
10.24,8.06
84.02,83.54
127.33,126.67
49.59,47.9
123.75,123.49
100.8,101.82
19.0,21.99
166.38,166.94
34.88,30.13
120.83,120.86
