uber_cost,taxi_cost
132.21,131.06
14.24,13.69
194.88,192.56
11.72,13.9
102.71,99.76
132.42,132.91
178.75,178.91
116.09,118.14
97.31,98.57
193.47,191.56
59.25,55.86
99.44,103.77
130.02,127.32
150.66,151.41
98.5,99.41
121.46,124.34
85.55,87.54
184.95,185.98
21.58,22.66
41.95,45.03
79.84,81.97
51.04,54.97
57.35,60.34
127.83,126.08
142.49,143.63
177.72,177.47
200.86,199.45
143.03,142.5
131.34,132.33
42.65,42.9
73.58,69.82
71.5,76.21
39.94,43.78
57.05,58.51
155.81,159.32
157.24,155.89
115.27,119.16
44.76,43.8
23.87,23.02
40.35,42.86
30.49,25.33
51.64,49.25
145.12,145.54
25.85,24.64
131.11,132.5
137.42,133.1
128.51,127.92
176.56,176.79
84.22,83.87
105.58,109.87
86.56,84.38
51.27,54.67
99.18,97.99
132.2,129.32
13.85,14.14
126.38,129.6
117.5,121.12
178.65,178.18
163.24,162.39
92.28,96.19
69.16,68.35
81.16,84.11
143.19,144.44
29.86,25.31
101.1,101.19
189.17,191.57
165.4,162.69
68.97,68.49
190.89,194.03
125.9,127.59
176.47,177.23
181.47,184.21
78.93,76.73
30.29,30.31
114.79,113.94
97.61,94.94
20.75,20.87
25.74,24.8
190.03,189.42
196.59,197.28
79.56,80.33
191.03,191.81
118.27,120.82
170.62,171.85
186.25,185.31
187.43,187.37
94.09,97.11
50.13,54.02
69.8,69.53
157.52,159.76
191.97,189.22
87.41,90.74
98.4,101.38
96.19,99.76
29.14,30.19
107.8,110.72
185.72,184.88
143.05,141.76
86.84,82.72
89.92,91.08
150.69,153.21
128.98,127.61
43.56,48.37
91.07,95.1
76.86,71.37
143.5,139.58
50.09,54.58
32.43,34.81
53.07,52.42
95.18,96.81
58.9,62.16
27.98,28.08
19.58,19.67
143.42,145.24
22.31,24.49
114.49,119.88
158.51,160.2
33.81,34.85
107.4,105.97
136.75,139.83
78.66,74.13
67.63,66.24
69.4,66.65
119.12,118.88
180.15,178.39
49.4,49.41
91.34,88.66
143.08,141.6
75.63,73.06
188.15,185.62
116.86,116.26
196.47,195.35
103.25,104.27
120.32,120.85
154.42,153.83
13.48,12.88
104.74,109.02
186.8,187.6
58.19,56.2
186.26,188.53
87.62,83.02
81.19,82.46
133.44,136.17
68.23,72.88
179.99,176.84
70.44,71.14
174.64,172.5
124.43,127.33
10.07,9.2
20.13,19.9
91.05,89.7
136.65,135.98
60.95,58.4
44.76,45.2
178.38,175.18
150.06,154.68
165.3,167.18
96.67,95.13
144.21,143.28
69.28,73.3
144.74,145.51
75.35,77.47
25.23,23.62
21.76,19.67
31.89,28.69
113.11,110.87
159.59,158.81
39.3,43.47
28.18,26.34
77.0,73.22
192.8,194.71
33.03,30.86
103.52,103.29
122.72,123.9
180.61,183.08
148.22,148.11
37.35,35.8
167.59,170.52
166.28,165.85
109.94,111.47
72.96,72.26
167.1,167.61
75.76,78.67
59.09,62.87
135.51,133.75
160.71,161.19
152.85,154.94
130.85,128.09
119.45,121.51
129.56,129.0
201.57,199.74
106.02,109.07
67.08,70.16
11.07,7.38
59.26,56.91
49.17,51.94
67.29,66.26
9.22,12.89
43.92,45.8
106.85,105.42
38.5,41.69
157.53,158.78
36.24,41.13
94.46,98.97
36.56,40.7
69.53,74.36
134.22,133.44
53.36,50.66
46.33,47.15
98.47,94.05
154.39,152.61
30.65,30.0
197.61,198.39
178.9,179.62
26.56,26.5
93.07,92.77
175.35,176.29
185.98,186.08
55.36,53.57
145.91,144.71
172.63,168.12
120.12,118.72
68.11,69.01
54.74,54.3
59.98,58.78
175.83,176.23
8.03,10.16
112.13,114.4
119.83,119.03
41.24,43.0
40.7,44.38
174.07,174.97
45.29,47.94
94.55,94.71
44.86,47.53
107.55,106.47
62.14,63.65
164.57,166.51
128.14,129.09
64.87,65.29
82.88,86.88
33.23,32.1
197.91,195.27
187.29,185.71
172.91,169.55
172.32,172.51
140.97,140.05
112.02,110.71
124.51,122.51
76.79,73.93
40.38,38.57
58.79,57.72
161.91,161.9
168.42,169.99
162.02,159.56
147.99,148.48
162.9,164.42
86.71,83.89
18.35,17.38
64.98,61.08
34.85,38.99
173.94,177.67
105.61,103.8
80.77,79.31
80.85,81.64
114.64,114.53
13.65,16.3
179.3,176.77
27.45,29.42
54.29,50.18
106.93,107.51
43.98,41.23
114.76,112.86
55.12,51.58
196.2,197.79
42.84,42.55
18.13,18.69
125.38,122.87
64.49,66.34
16.25,16.53
144.11,142.7
192.31,188.99
178.04,179.36
95.87,91.59
153.01,152.85
156.25,153.16
121.63,126.46
189.95,191.0
66.89,69.24
130.85,134.96
55.66,54.82
47.64,46.92
101.91,96.08
131.61,131.13
78.5,77.35
190.79,193.71
50.56,46.59
96.73,99.26
106.52,110.09
95.09,93.76
52.75,53.76
45.59,46.05
189.79,193.71
134.16,130.47
15.71,15.45
34.96,33.91
41.02,36.68
179.36,183.32
87.48,82.39
117.82,116.99
92.26,94.66
60.71,58.37
11.42,11.1
70.48,75.79
172.44,175.76
44.92,47.04
147.64,146.28
194.6,195.36
83.81,84.27
59.72,58.15
144.22,147.87
163.22,162.56
200.51,199.96
40.77,37.38
115.11,115.08
139.01,136.51
45.06,49.03
137.12,137.4
36.21,33.45
34.91,29.87
7.94,9.37
60.51,58.5
97.48,99.05
66.45,68.51
147.62,148.24
127.18,129.3
115.99,112.28
149.94,147.39
48.96,46.43
158.51,156.53
157.78,158.39
126.96,129.62
145.8,141.9
73.85,71.17
125.22,125.43
43.14,42.48
17.01,17.49
25.71,25.47
90.62,93.27
97.72,98.52
160.74,157.06
145.56,145.59
185.82,185.65
103.64,100.55
91.47,90.66
19.01,19.85
120.51,123.98
109.63,110.17
170.69,170.93
113.28,115.45
82.53,80.61
182.2,182.72
38.45,36.35
55.52,55.1
131.85,131.93
85.18,85.5
169.67,167.7
87.8,91.72
116.36,118.69
172.4,168.59
124.95,123.8
168.43,165.4
165.05,168.82
154.93,154.0
85.77,90.28
46.57,45.92
186.19,186.82
166.04,165.81
24.8,26.43
119.14,114.87
201.95,198.55
43.93,46.78
16.86,21.33
88.31,89.03
87.42,89.3
199.65,199.35
155.39,158.8
94.7,90.46
59.53,63.6
196.26,195.23
50.71,55.69
109.24,111.17
148.59,147.13
27.17,32.68
186.39,184.49
157.92,155.51
153.75,153.38
190.81,186.09
136.72,141.86
148.82,148.13
130.65,127.26
170.35,170.66
60.11,57.48
31.31,33.28
97.75,99.01
52.4,51.48
180.91,180.68
124.25,123.53
52.37,53.91
60.75,63.76
107.95,106.86
154.77,157.18
153.05,152.3
65.1,63.81
85.75,85.47
181.49,180.38
64.23,64.76
195.43,197.84
74.76,73.18
98.72,99.52
114.55,113.04
52.72,55.2
43.66,43.2
118.92,120.72
15.48,18.13
177.08,178.16
31.83,32.99
188.62,191.31
115.15,111.73
115.89,112.96
76.46,76.95
182.02,183.27
55.05,60.46
76.07,73.78
180.47,178.13
86.53,82.63
35.27,35.03
141.25,142.26
60.23,60.8
154.7,154.19
72.79,76.81
95.37,94.02
44.05,47.94
141.09,140.49
136.86,139.23
170.35,174.64
197.81,198.9
52.77,47.9
19.42,20.07
165.55,164.32
