uber_cost,taxi_cost
50.54,52.68
139.87,139.88
136.71,135.44
20.47,19.5
94.56,96.47
60.19,59.43
114.37,116.74
22.86,23.96
108.03,108.58
64.78,63.99
80.62,78.12
123.62,124.37
84.35,81.75
145.09,146.71
70.59,70.78
125.77,123.6
150.78,147.52
66.24,65.94
78.88,79.57
118.0,119.73
25.83,25.42
124.17,126.56
102.94,104.57
49.1,49.65
71.99,73.64
138.54,139.5
111.07,114.1
62.27,61.06
69.57,68.88
111.39,111.56
76.23,76.36
42.29,42.61
147.49,148.92
113.14,112.44
151.6,150.99
79.25,79.8
75.03,77.83
66.98,67.59
101.29,101.56
25.75,25.54
133.78,135.64
23.53,21.39
81.13,81.06
42.92,40.43
59.39,60.84
50.79,51.93
116.09,117.85
49.33,49.64
142.25,141.13
21.92,19.24
28.06,28.03
63.33,64.4
132.26,132.68
46.68,49.53
93.08,91.2
114.47,116.69
31.05,30.86
115.76,114.2
99.65,97.54
93.07,92.9
19.52,16.06
83.05,83.6
29.43,28.96
87.48,87.09
59.33,61.84
52.65,49.05
77.46,78.07
36.26,38.69
18.75,15.43
56.23,54.52
109.41,107.53
32.04,35.11
134.67,133.85
35.51,36.23
110.94,109.43
30.22,30.18
76.17,76.21
88.37,85.19
69.1,70.91
53.7,53.74
134.27,132.46
87.45,87.83
26.48,27.22
103.05,103.23
23.87,24.92
124.11,124.76
120.76,123.38
23.95,23.48
32.73,35.57
146.0,143.5
50.62,53.72
125.95,127.15
90.48,90.04
148.86,149.89
73.16,76.59
147.55,146.93
144.12,144.34
23.08,22.03
98.77,98.84
75.68,74.59
93.93,92.08
65.04,66.67
125.04,124.37
86.57,87.18
130.46,131.06
140.6,142.69
111.68,113.02
114.19,113.3
26.41,27.19
148.74,148.35
117.38,114.36
129.09,128.05
75.64,75.09
130.67,128.49
146.58,144.74
43.16,43.64
114.4,114.35
20.43,21.72
111.23,109.79
122.49,124.52
117.5,117.74
148.04,148.48
108.05,107.42
70.42,70.84
84.82,82.12
108.59,107.64
69.95,69.24
127.02,127.1
68.66,70.76
47.55,47.32
82.35,81.02
120.86,120.94
66.08,68.92
111.96,111.41
117.86,114.01
104.36,103.42
90.84,89.66
83.72,81.5
139.67,139.63
56.1,55.67
70.81,70.34
107.48,105.81
137.42,134.77
110.91,113.77
43.82,42.02
121.83,123.0
44.59,41.92
145.65,145.62
29.13,27.92
20.15,22.34
110.93,109.89
108.46,108.66
83.59,80.95
139.2,140.77
23.36,20.69
33.13,32.16
21.24,21.92
108.08,109.32
22.31,23.23
135.23,136.03
56.68,56.25
25.05,23.4
98.69,99.99
14.6,17.42
147.52,149.7
87.38,85.18
79.42,82.35
35.72,35.63
146.75,144.1
31.14,31.39
26.78,28.09
114.77,116.87
34.53,34.01
33.98,36.13
85.26,85.62
32.65,34.61
132.4,131.11
147.19,149.67
38.98,39.33
47.01,48.13
148.09,147.96
46.33,46.28
145.32,144.5
53.73,56.82
28.9,27.38
21.16,23.46
106.7,106.28
116.12,117.32
99.66,100.2
63.13,63.79
131.39,134.94
146.5,143.77
23.91,21.9
66.83,66.07
45.83,43.58
105.6,104.8
85.33,85.68
136.45,134.56
57.11,58.99
56.86,54.28
87.34,87.55
39.47,41.17
39.51,40.7
44.31,43.93
42.72,42.52
86.91,89.45
68.95,66.79
118.57,116.04
124.62,124.23
126.03,125.96
20.83,18.13
78.55,78.04
39.29,37.49
77.47,76.16
134.96,133.09
42.64,43.5
139.3,137.34
135.61,137.76
95.43,94.63
91.26,90.53
27.61,27.55
78.41,75.87
94.79,94.08
110.38,109.88
142.92,143.61
66.78,64.85
55.92,53.73
105.94,105.24
29.39,30.72
39.67,41.3
81.35,79.08
142.11,142.77
104.14,106.11
76.24,74.54
45.34,45.76
92.59,91.2
118.81,116.76
17.5,15.75
60.58,58.73
87.49,87.1
45.79,44.02
91.46,92.9
82.63,81.23
123.31,123.26
118.04,117.89
147.67,148.36
70.03,72.18
76.81,78.28
61.37,64.0
124.48,124.13
42.98,41.49
124.37,126.64
90.83,91.73
23.43,23.72
70.14,72.97
79.67,77.2
82.92,84.56
128.03,128.45
42.2,39.02
70.72,69.24
110.56,108.9
18.11,17.47
43.84,44.0
109.22,109.37
88.3,90.8
74.17,73.99
97.4,98.75
75.3,77.84
50.61,50.07
59.32,60.21
67.63,67.83
28.5,26.41
115.43,114.29
22.62,21.31
107.79,106.16
