uber_cost,taxi_cost
116.49,116.78
232.82,238.55
212.35,220.44
234.08,231.44
159.04,154.78
206.7,197.35
75.95,71.17
124.29,120.93
51.76,51.45
40.95,44.36
226.33,232.0
220.36,220.3
149.02,148.88
163.66,154.28
137.03,134.28
224.17,223.15
233.53,241.1
234.24,235.54
237.9,244.85
175.68,174.39
90.33,86.63
142.22,140.58
190.22,186.11
160.52,162.14
133.45,132.76
166.6,167.58
212.55,203.85
176.31,180.35
123.51,115.03
84.96,78.99
93.16,97.87
20.55,14.17
230.92,229.79
226.05,225.35
176.64,180.62
232.75,236.47
134.62,138.01
194.76,192.96
36.04,42.49
138.23,143.73
194.74,198.2
17.75,20.11
139.71,144.69
69.67,67.47
151.0,150.31
252.53,245.07
246.7,245.07
238.81,243.72
176.91,174.99
140.0,148.61
53.61,49.53
45.11,45.15
56.31,57.09
19.48,27.65
118.2,121.57
97.78,101.46
190.69,188.08
247.66,240.84
81.7,82.35
182.06,185.73
218.3,220.28
85.53,85.32
98.98,101.91
234.57,231.02
215.8,212.51
58.93,60.2
37.77,33.49
16.1,21.94
156.78,151.9
161.59,160.31
82.58,81.06
126.46,121.12
40.1,31.61
51.84,48.79
194.47,195.8
125.66,132.69
203.31,208.2
204.74,202.49
107.73,102.34
209.99,213.32
120.11,122.65
104.34,98.57
49.59,48.29
170.3,172.37
224.24,228.1
76.7,71.99
198.62,199.47
143.71,146.0
157.22,153.75
63.49,69.02
128.89,121.3
93.51,91.93
197.57,200.84
63.48,66.43
219.73,221.17
245.3,240.14
140.11,139.8
105.88,106.6
98.84,104.31
172.87,173.86
101.35,102.44
213.76,212.73
197.12,199.07
222.26,217.87
153.89,158.77
226.79,224.87
190.66,189.5
105.17,110.29
65.14,63.89
184.68,180.39
250.53,249.11
23.43,23.64
197.25,195.56
244.04,238.81
61.72,67.15
222.01,222.31
215.26,212.11
151.48,153.48
51.42,51.21
224.15,224.01
102.23,107.08
227.25,234.51
27.43,28.32
230.34,229.07
197.57,197.45
216.47,217.52
134.2,131.1
156.35,152.85
207.05,213.17
189.02,197.93
124.89,126.29
253.04,251.91
98.67,100.64
112.75,116.75
185.13,181.09
88.62,93.5
129.6,127.53
235.94,243.94
121.34,120.83
21.15,20.27
141.11,146.06
24.34,19.61
183.54,181.48
186.55,187.07
213.28,212.14
158.76,158.23
96.29,90.55
137.03,135.05
244.9,242.22
53.48,51.57
81.53,81.05
199.6,198.48
195.55,194.18
169.78,170.43
197.35,189.35
235.59,231.87
139.49,137.3
95.41,96.16
84.3,92.25
134.18,140.11
220.42,221.74
101.82,100.65
139.06,134.4
221.21,217.23
42.27,40.13
140.31,136.93
217.09,212.68
41.9,46.55
194.64,195.31
174.22,177.65
45.45,44.61
234.35,239.89
48.92,48.21
200.92,201.44
48.42,48.81
85.0,87.51
168.0,172.38
187.21,190.77
21.29,22.02
113.27,113.8
35.1,29.94
168.23,170.51
206.49,200.33
93.43,86.29
23.08,20.7
182.12,174.29
19.38,23.65
26.77,25.26
51.94,43.14
227.43,223.62
130.2,129.91
207.82,205.66
210.67,210.13
96.69,105.74
98.56,99.47
159.15,165.58
191.73,190.39
87.79,86.41
174.98,180.76
91.01,86.46
105.06,99.57
244.17,243.66
172.96,173.8
152.83,155.77
187.18,186.85
247.32,240.84
169.27,174.95
132.54,133.9
239.11,245.65
176.56,182.03
28.86,29.04
164.79,164.5
106.88,103.84
100.79,100.94
95.32,95.31
130.75,131.3
210.85,210.5
238.57,243.35
91.58,92.85
112.05,107.17
127.82,125.62
65.53,66.83
216.07,221.01
174.71,173.28
191.3,187.38
134.94,134.31
113.53,119.26
201.57,204.31
199.65,196.34
48.7,51.86
101.72,109.14
137.5,141.41
244.99,245.95
201.3,194.59
127.83,122.13
215.89,212.07
173.63,174.46
140.7,138.78
80.09,77.72
34.95,34.24
215.61,216.67
220.87,220.16
54.92,55.96
202.8,200.26
77.6,78.46
127.7,119.18
99.03,103.87
131.58,126.87
194.74,193.28
160.08,152.35
133.49,138.65
31.14,30.67
158.4,158.5
195.23,186.29
242.21,249.26
141.76,140.96
103.53,105.08
212.57,212.98
230.8,228.5
71.75,67.84
143.93,141.3
172.56,172.76
83.96,90.01
95.23,97.04
235.35,235.41
41.96,39.78
206.16,205.41
226.29,225.8
18.8,18.91
107.03,106.27
63.92,69.1
151.64,151.78
103.24,104.46
145.81,149.68
245.48,240.87
169.47,176.84
86.18,89.9
194.46,193.15
48.35,43.34
45.08,44.68
225.8,229.32
177.26,177.73
133.43,134.14
42.98,38.97
197.15,200.34
185.4,183.86
165.8,156.01
116.06,111.92
106.91,102.85
72.36,74.48
108.78,100.47
219.41,221.35
238.18,233.46
53.21,59.98
138.27,136.63
24.57,29.2
43.55,43.31
201.69,204.01
84.22,89.08
134.17,126.62
95.96,92.04
27.0,25.11
29.71,30.66
114.61,117.84
95.36,94.52
66.37,69.38
197.46,197.77
223.12,223.99
73.99,75.34
199.04,205.91
68.16,73.59
106.72,104.12
18.15,20.0
178.81,183.13
138.81,141.23
23.02,24.27
176.94,169.8
72.8,77.47
220.77,224.45
32.49,30.66
88.9,86.07
132.52,135.49
168.47,160.27
48.02,53.2
219.16,224.96
120.92,129.39
101.12,104.12
164.22,173.71
184.28,177.53
143.65,144.53
93.18,92.22
68.8,73.48
52.57,56.63
205.05,211.31
29.05,23.11
29.84,31.96
35.07,31.8
21.88,23.19
116.71,108.55
52.04,54.37
136.9,136.04
196.0,200.93
67.91,68.24
102.81,108.78
167.69,160.15
81.06,75.59
78.41,72.44
180.42,177.59
189.72,186.16
174.75,174.98
49.67,45.96
247.53,241.11
199.31,194.94
238.83,234.81
175.57,180.87
167.56,160.81
119.28,115.08
220.42,220.37
206.7,208.44
47.07,52.1
129.58,130.34
222.98,227.76
37.07,43.81
181.37,181.5
147.21,138.17
85.48,90.76
223.23,219.53
16.62,23.78
160.02,164.25
95.49,94.74
109.36,111.88
31.07,31.29
84.52,79.31
60.56,55.4
25.29,23.83
185.32,180.2
180.93,185.57
132.59,134.19
149.31,150.11
107.68,104.3
82.75,74.43
187.45,189.14
156.66,156.03
38.74,44.68
195.56,191.86
90.4,92.29
59.99,64.8
14.57,12.9
17.15,16.14
49.86,48.43
47.81,49.85
21.43,23.22
231.32,231.33
101.12,106.65
138.9,142.0
19.48,21.48
39.63,48.01
40.97,43.04
162.74,161.18
213.08,211.49
115.34,124.04
169.15,167.76
121.97,123.15
63.91,61.04
234.47,232.75
88.44,89.36
107.23,107.28
30.16,28.43
110.12,113.09
212.85,210.63
54.79,59.34
19.62,26.09
122.12,127.94
139.07,141.7
219.88,226.23
235.73,230.92
39.68,34.24
133.8,130.24
232.07,236.6
195.96,194.89
104.22,113.97
143.0,150.46
89.19,89.63
230.49,230.81
101.66,101.41
57.61,54.95
201.96,200.23
154.9,154.9
153.39,159.77
30.74,27.8
111.04,108.88
102.36,103.32
203.59,203.53
113.92,118.78
83.25,84.61
50.9,45.95
228.02,232.05
243.4,242.69
223.71,222.45
133.56,139.92
64.77,58.31
203.66,196.25
104.87,110.38
32.93,33.37
179.2,181.64
81.92,84.65
246.4,243.93
125.96,123.06
44.05,47.61
93.18,92.05
237.07,236.66
149.9,144.33
229.08,230.21
162.94,160.16
85.18,86.93
178.49,174.39
179.89,180.49
21.16,19.88
195.17,197.59
218.01,220.23
122.23,125.55
106.33,101.65
186.47,186.48
72.22,73.96
42.96,43.46
71.9,78.08
207.84,211.71
22.89,23.03
147.92,138.39
220.24,221.12
88.29,84.56
134.79,139.89
56.04,50.36
36.25,44.48
38.13,41.45
228.99,222.12
30.55,35.97
95.58,94.92
53.85,54.7
125.5,132.63
28.85,27.39
124.42,118.34
16.92,18.22
118.12,110.28
193.38,192.96
145.51,151.73
117.69,121.25
133.94,135.37
195.43,195.75
208.08,213.33
104.2,112.69
50.32,50.03
49.12,49.24
143.87,151.16
45.64,42.92
131.01,136.36
243.24,247.52
181.94,178.41
234.51,233.08
148.63,147.58
18.72,14.13
71.03,75.2
21.64,19.1
11.24,10.85
22.6,23.75
103.87,97.55
48.98,46.42
238.16,241.9
72.22,74.27
145.17,149.46
215.08,219.99
26.36,34.56
223.95,222.95
115.5,114.69
38.22,45.92
253.66,254.29
106.35,98.43
70.64,75.49
169.79,169.76
158.0,162.36
38.4,37.19
108.93,109.51
28.88,28.47
94.51,99.58
169.98,167.91
177.09,185.33
234.63,235.31
118.67,117.11
18.69,20.09
153.3,153.32
228.43,223.97
244.66,248.03
201.8,202.57
38.66,34.36
63.31,67.52
179.21,173.87
39.02,43.49
101.51,101.34
233.14,234.52
29.92,28.77
151.72,148.0
41.35,42.66
154.16,152.17
139.15,144.3
123.93,126.16
41.36,34.86
101.4,105.0
31.26,31.99
207.46,216.28
140.61,146.71
88.58,85.23
47.66,54.34
93.08,94.49
196.13,196.11
161.34,162.8
57.91,49.02
205.59,209.47
190.62,196.29
136.15,132.01
131.87,136.66
207.72,207.26
73.49,72.5
247.08,248.69
197.47,197.52
40.81,37.75
20.53,26.38
74.93,76.34
198.08,199.5
106.2,98.1
33.19,29.62
28.12,32.85
87.63,91.0
240.45,243.14
144.79,148.8
140.7,141.82
137.1,137.08
39.93,46.56
94.93,94.98
155.59,158.33
205.13,210.63
23.64,27.97
220.24,225.03
99.06,99.14
133.28,132.51
198.41,201.53
71.79,67.63
220.59,219.66
222.66,230.52
139.13,141.03
70.12,72.43
186.67,181.76
228.45,233.47
186.83,180.11
68.04,70.2
196.13,198.12
55.05,54.69
39.2,39.42
175.73,177.9
76.55,73.27
119.67,124.09
105.9,113.44
46.15,38.25
159.24,165.34
228.07,229.82
86.83,88.85
209.19,208.68
27.32,30.64
19.0,17.54
28.08,23.91
148.74,143.82
185.46,186.34
232.73,234.04
175.96,176.76
20.44,15.21
129.74,131.93
165.63,163.94
108.25,110.5
82.52,86.7
230.42,224.55
165.19,172.82
163.64,169.95
82.93,82.59
19.77,20.99
231.89,234.26
192.05,186.81
178.68,171.81
195.28,197.15
223.26,221.02
97.8,90.85
162.54,158.17
160.4,160.38
167.27,160.61
168.11,168.32
27.17,32.32
53.17,52.88
145.07,147.51
183.65,189.86
180.29,183.28
34.67,34.88
129.13,129.34
242.49,251.63
132.22,137.92
170.3,177.97
142.57,145.04
35.45,37.32
69.17,66.23
157.03,152.5
171.32,171.32
166.83,161.2
220.68,223.1
224.69,219.11
231.05,231.94
193.03,191.21
154.56,156.69
65.89,65.79
74.62,73.42
235.16,226.0
191.14,190.48
79.47,79.14
47.53,50.77
42.01,50.86
125.41,126.48
131.79,130.88
16.12,14.81
22.56,21.11
141.03,139.98
147.46,152.56
127.38,125.21
34.31,27.04
101.54,101.54
247.25,249.0
96.72,99.6
166.57,171.8
38.31,44.75
156.9,151.12
39.11,44.75
34.23,36.34
76.42,85.51
144.72,145.27
201.16,198.42
215.72,221.24
48.65,43.51
125.39,123.46
100.89,99.23
174.26,170.82
92.51,89.41
77.69,76.47
188.1,180.97
239.73,238.55
90.09,89.51
245.84,244.69
75.99,80.18
144.1,147.15
97.99,97.1
208.7,211.53
195.87,192.29
170.4,171.79
209.32,208.93
81.2,77.67
225.27,224.09
83.32,84.73
73.76,79.61
203.2,201.9
25.89,24.85
67.71,67.97
97.54,94.29
100.86,101.48
124.13,128.05
130.52,128.03
183.76,184.24
225.43,222.02
108.35,105.12
18.52,19.63
128.66,137.72
96.88,102.42
184.62,181.14
250.17,252.4
240.52,238.69
206.98,204.91
75.37,73.17
180.13,180.75
233.9,238.68
43.69,45.04
102.45,101.79
232.16,233.59
194.89,196.06
163.7,169.21
83.98,86.14
177.14,176.66
233.15,231.05
211.99,219.39
52.32,54.04
156.22,158.93
88.72,82.09
208.95,206.65
87.65,80.03
160.64,161.93
55.34,53.09
197.38,193.1
21.22,21.62
110.42,109.58
55.31,52.8
248.68,247.64
24.82,29.51
208.62,216.3
53.99,52.09
177.95,176.27
50.48,53.32
89.37,84.11
186.45,185.77
95.55,93.0
234.77,231.5
246.29,245.4
76.81,73.96
142.61,143.12
68.44,66.94
34.57,38.72
232.17,228.12
21.86,23.15
80.66,82.82
169.22,166.86
59.0,61.7
182.16,189.07
251.49,244.46
14.04,18.26
124.96,127.32
155.62,148.52
26.2,31.41
116.6,116.17
202.29,206.5
219.33,215.04
198.84,200.14
70.9,70.65
228.96,228.29
137.91,139.43
214.4,215.55
19.77,13.38
118.44,117.77
71.91,72.13
16.98,16.54
169.93,170.82
140.85,143.03
206.63,213.51
219.6,223.18
199.93,205.65
103.99,101.78
101.06,104.8
241.31,240.08
220.84,225.86
28.74,23.07
31.35,33.87
148.01,145.65
166.16,173.59
180.73,185.52
212.59,215.72
82.31,78.01
36.38,34.12
222.42,219.1
33.57,32.49
164.23,167.29
201.34,194.79
152.4,153.94
174.77,177.96
62.56,68.04
126.14,118.39
35.07,29.87
140.36,146.89
173.73,175.44
21.95,25.92
86.22,87.01
169.14,167.31
136.28,139.72
33.78,32.35
187.0,187.5
223.3,226.6
218.74,209.38
241.7,240.95
173.92,174.54
250.74,249.38
49.53,57.62
201.94,196.38
206.26,205.27
133.42,130.8
53.29,54.46
99.28,104.9
38.39,40.94
102.6,99.11
21.71,23.73
102.13,99.2
234.0,233.1
94.9,103.0
196.34,199.19
92.94,98.7
223.49,222.05
176.71,180.54
191.73,199.06
186.67,185.03
192.38,196.04
84.96,83.59
51.09,50.48
23.52,22.07
61.74,62.85
19.44,16.62
218.06,221.15
230.94,229.6
152.27,149.1
59.78,65.54
87.93,85.79
160.57,154.5
147.1,151.39
195.35,202.84
97.91,101.66
143.85,149.71
70.56,75.64
166.02,166.81
102.4,110.98
16.43,17.6
182.85,183.06
80.58,86.15
225.85,222.84
200.86,197.2
54.06,61.56
223.22,225.51
121.99,114.2
57.99,63.78
152.19,146.47
220.77,220.89
251.04,242.87
164.43,161.1
160.91,159.54
24.98,28.34
32.73,36.49
159.26,155.4
195.97,195.99
106.43,102.71
124.9,121.3
219.24,216.35
186.69,189.52
244.98,242.07
37.75,46.77
91.54,85.78
236.65,234.98
223.4,220.07
26.64,29.28
69.56,76.35
58.45,55.9
120.88,118.39
244.39,237.12
35.12,31.82
227.63,229.63
205.99,207.99
241.83,245.39
183.61,190.62
165.21,161.64
29.36,30.91
118.17,119.16
