uber_cost,taxi_cost
45.73,41.39
195.99,196.96
110.81,117.25
76.45,72.26
137.18,140.14
64.87,65.46
137.27,135.1
188.61,194.03
26.19,28.35
66.77,64.08
156.68,153.23
166.76,165.45
59.04,58.7
138.38,142.35
28.49,27.52
29.57,31.7
44.69,45.83
153.92,156.83
128.34,122.67
127.57,126.01
125.8,131.24
86.28,85.92
46.06,46.69
186.92,182.13
186.32,192.24
47.43,48.35
76.93,81.37
56.24,57.19
47.13,45.67
21.09,14.7
170.62,172.01
22.32,20.88
135.53,138.43
149.62,148.46
143.19,139.86
157.31,158.22
47.31,45.59
102.61,104.48
133.97,138.27
195.11,191.79
28.48,26.18
21.24,19.81
92.79,88.16
121.39,119.64
26.05,26.04
137.31,139.17
24.4,25.38
39.67,40.57
69.37,69.18
122.83,126.94
169.1,166.6
189.25,190.63
33.42,35.44
185.07,179.53
26.14,28.48
91.94,86.65
142.89,145.9
41.6,42.58
201.49,198.75
14.46,12.27
148.65,150.01
195.12,199.35
147.75,148.15
22.6,22.49
132.62,135.11
194.77,190.77
97.93,98.62
94.39,90.81
68.43,65.69
165.13,169.66
177.44,174.43
180.8,181.93
114.27,118.2
165.65,169.58
147.36,142.87
39.16,39.73
161.52,155.93
196.57,201.23
20.12,21.47
136.39,131.56
123.79,117.42
49.98,54.58
171.34,173.35
192.15,190.12
44.38,44.91
142.56,142.92
105.09,108.04
168.06,173.65
196.44,194.18
187.73,190.02
101.56,101.44
72.22,73.83
48.07,48.05
110.88,110.81
163.77,160.05
98.05,98.56
158.55,160.47
81.91,74.1
38.86,39.69
39.12,35.61
37.39,36.31
58.53,56.16
72.2,74.02
116.0,114.63
167.37,165.82
34.61,35.83
44.56,48.76
177.05,179.77
117.96,116.16
75.59,74.78
139.27,143.38
153.72,148.77
141.84,148.25
87.43,85.36
203.4,202.03
71.28,70.68
62.51,62.54
194.68,190.54
48.34,47.72
94.91,95.22
72.17,72.51
161.12,159.07
98.38,104.99
197.53,193.38
198.23,199.35
47.03,50.71
65.51,67.35
91.96,91.56
89.32,93.55
149.97,153.66
138.83,136.67
174.7,175.12
178.33,179.06
43.91,50.0
162.0,161.96
15.6,16.94
99.45,102.07
161.86,156.21
92.88,88.35
143.19,138.67
75.64,71.62
58.56,58.81
103.72,101.04
151.04,147.04
70.91,68.48
53.84,55.57
113.58,115.36
145.84,139.1
145.31,150.02
99.86,99.62
160.43,157.8
151.27,149.56
47.12,47.89
130.01,136.1
114.23,113.58
75.2,76.76
119.05,118.64
183.54,189.72
117.34,118.23
126.98,125.43
119.21,118.2
201.62,196.62
67.85,61.4
130.23,134.69
23.08,24.11
127.85,133.12
90.44,90.84
96.55,96.97
54.22,57.18
103.23,107.7
183.42,181.34
18.4,21.89
33.99,32.03
179.16,185.9
163.03,164.58
124.09,125.41
140.14,138.49
187.06,185.24
48.75,48.67
37.03,39.83
20.68,17.68
160.37,162.33
74.69,72.31
148.32,141.21
165.14,166.62
19.21,22.02
72.54,70.09
109.94,107.23
154.82,152.0
156.34,156.08
61.18,62.79
80.9,79.77
101.21,106.25
115.52,117.01
35.94,32.76
67.44,71.36
91.79,95.58
66.28,66.96
96.01,94.02
180.58,180.9
71.83,71.26
147.28,149.36
119.67,122.89
96.1,96.89
54.18,51.07
78.97,77.86
46.87,45.95
26.79,28.65
88.09,91.54
139.35,140.73
190.06,187.74
135.63,139.15
70.47,74.05
161.33,161.05
161.25,161.09
54.89,54.14
41.45,41.51
129.85,129.15
97.13,101.24
131.52,125.38
153.69,157.56
17.41,13.23
35.28,31.46
154.76,153.11
76.46,78.9
46.34,49.5
17.56,20.05
99.1,100.88
76.78,74.04
62.94,62.38
58.16,54.89
131.77,132.62
199.34,193.63
94.35,98.86
56.36,55.6
143.45,136.48
192.82,188.02
90.9,87.68
192.29,186.2
59.11,57.55
60.81,61.39
173.74,175.91
