uber_cost,taxi_cost
40.1,40.48
108.91,108.16
69.71,64.3
36.45,36.74
70.29,74.76
199.34,195.31
191.48,188.91
146.95,144.26
205.23,211.51
187.81,182.01
50.64,42.53
172.45,167.71
56.69,59.23
137.5,140.69
114.4,112.38
222.22,222.31
136.07,145.89
79.58,72.18
235.98,231.25
34.44,30.1
153.69,147.88
174.71,167.97
186.3,183.75
87.79,82.28
107.13,107.13
168.02,171.41
107.61,110.93
81.68,84.59
86.41,86.3
177.18,180.49
84.49,89.49
180.29,179.25
184.45,181.51
213.71,216.63
99.04,98.67
66.47,69.69
60.37,60.62
224.54,221.33
55.42,62.68
200.26,193.29
33.94,31.81
51.21,45.65
111.42,112.99
226.32,229.74
206.63,212.13
29.84,33.18
156.07,157.91
80.7,82.89
154.63,156.49
88.96,86.48
230.57,226.68
24.98,32.36
73.04,70.69
32.9,33.25
166.13,166.93
234.02,226.85
47.45,49.48
60.17,60.09
113.88,113.37
42.16,36.17
98.86,105.81
33.74,36.5
161.28,167.31
216.72,222.37
56.5,63.07
118.44,120.1
34.78,34.24
39.66,35.39
237.38,233.13
171.0,178.27
28.71,27.01
51.21,49.19
21.75,19.06
177.55,179.08
81.27,81.06
171.06,177.33
222.37,219.37
42.82,44.83
131.6,129.87
49.77,49.07
101.81,101.59
219.67,217.31
90.97,88.33
153.57,151.18
224.5,220.83
84.9,84.99
224.63,222.57
196.76,197.51
97.92,90.86
74.42,73.56
192.65,192.16
132.91,127.41
166.38,170.37
32.24,35.79
24.76,21.53
113.34,116.35
192.83,193.68
34.15,30.91
207.31,203.73
96.14,95.11
222.42,223.11
220.1,214.25
236.37,232.42
71.69,68.2
56.66,51.0
40.75,35.28
54.86,60.67
154.52,152.2
133.76,138.83
221.19,219.37
243.06,237.92
196.84,194.53
74.09,75.91
141.98,142.58
225.87,220.35
154.08,154.81
155.92,160.12
121.68,123.42
158.59,160.05
211.5,211.76
162.0,159.52
187.59,183.15
232.25,228.12
182.59,178.45
160.87,163.74
187.9,185.3
210.63,206.12
67.62,70.72
103.91,105.87
170.36,166.85
60.69,55.08
26.23,31.18
219.8,219.65
184.65,186.94
138.77,142.86
63.76,68.73
59.92,51.33
75.64,78.67
143.88,150.49
159.73,160.8
179.29,178.52
87.02,87.48
158.96,159.14
228.43,229.71
130.47,138.2
173.73,166.87
220.01,221.72
211.44,205.31
154.55,154.03
155.18,152.79
231.59,231.2
39.66,40.21
161.49,165.33
190.35,187.42
190.61,194.5
81.44,86.94
164.09,164.35
50.57,44.01
135.58,129.48
235.7,236.83
201.79,192.79
240.19,239.76
126.91,120.28
201.13,203.06
129.07,130.35
18.67,23.86
186.83,191.42
93.44,87.94
50.7,51.08
161.04,168.81
39.83,39.05
129.91,124.92
19.72,19.96
69.83,75.57
195.77,195.96
191.4,191.6
21.27,21.39
34.13,37.63
55.49,52.26
223.18,223.17
105.84,105.09
46.3,45.47
180.22,178.18
165.24,168.97
212.0,206.99
25.58,27.39
95.41,96.04
131.07,124.74
160.17,165.96
189.34,183.12
19.55,18.45
126.78,130.61
199.18,205.27
224.36,222.39
47.45,43.49
217.72,217.83
236.92,233.27
54.93,57.73
25.47,20.6
113.67,111.64
209.98,214.73
170.65,164.89
132.14,135.73
219.13,212.47
38.97,34.62
167.72,174.24
16.45,21.52
211.49,208.96
85.82,85.83
235.54,226.06
149.07,143.72
107.47,103.71
79.28,82.65
232.12,234.82
226.04,220.66
80.65,80.01
148.35,149.25
136.15,138.4
15.38,17.1
65.9,72.33
217.15,222.21
44.87,50.44
127.3,128.07
19.04,18.55
208.0,215.11
190.72,182.36
