trip_duration,trip_distance,PULocationID,DOLocationID,time_stamp,weekday,month
1571,13.5,9,164,103,1,4
1081,7.3,166,248,103,7,4
2519,18.2,61,47,109,2,4
1545,8.8,173,205,101,4,4
646,2,7,202,100,7,4
2255,21.2,214,258,102,4,4
1245,7.9,237,261,108,4,4
959,5.4,223,126,97,1,4
1520,6.2,88,230,97,5,4
1438,5.9,76,196,100,4,4
1788,15.2,58,63,97,6,4
2398,14.2,21,161,104,7,4
1430,11.5,220,129,114,7,4
2433,25.5,135,210,111,4,4
2625,21.2,251,162,104,2,4
1473,9.4,217,67,106,1,4
546,2.4,233,145,109,6,4
1017,6.8,15,122,105,1,4
776,4.2,13,79,98,2,4
1772,11.2,183,166,98,5,4
2847,29.5,139,156,114,5,4
2367,24.4,64,108,105,3,4
2809,20.8,161,206,105,1,4
1884,12.3,191,225,97,2,4
2305,20.5,207,91,108,6,4
2040,19.7,222,74,107,3,4
1441,7.9,60,236,113,6,4
1804,16.6,168,133,108,7,4
2081,13.3,167,49,105,1,4
2911,23,206,129,99,1,4
405,1.1,49,97,104,3,4
1206,7.1,253,28,104,6,4
2244,18.3,55,157,100,5,4
1643,15.6,224,200,108,7,4
2146,15.7,134,151,108,2,4
1188,3.8,87,49,112,4,4
1172,3.4,25,148,110,7,4
958,6.7,70,196,100,3,4
1137,8.9,1,23,114,6,4
1876,7.9,198,161,103,2,4
1699,7.9,181,80,114,7,4
2164,6.1,113,37,104,2,4
1203,3.6,88,97,107,3,4
1375,13.5,240,83,96,1,4
1111,7.3,229,33,109,6,4
1992,13.9,255,169,96,2,4
1840,10.1,20,202,102,2,4
578,1.6,146,202,102,1,4
1178,7.2,196,129,101,5,4
2842,30.8,44,142,101,6,4
890,2.2,169,60,109,6,4
649,1.3,231,88,105,6,4
3569,27.3,201,143,101,1,4
1133,6.8,145,12,111,3,4
1366,8.5,176,44,112,7,4
1083,8.9,145,253,101,7,4
2393,18,139,164,113,1,4
1901,10.2,188,170,102,7,4
2244,10.7,21,90,97,7,4
1417,8.6,67,65,107,6,4
1137,4.2,77,124,103,3,4
1060,7.6,243,58,110,7,4
1606,11,238,253,104,2,4
881,3.6,124,258,104,5,4
1406,13.1,209,212,103,7,4
2538,17.5,77,230,98,1,4
1656,9.3,58,116,107,4,4
2246,11.4,211,102,105,5,4
742,1.6,69,147,107,1,4
838,5.8,169,208,106,7,4
2844,23.8,201,211,97,7,4
1332,9.3,253,31,101,6,4
748,7,81,259,96,3,4
2150,13.4,145,22,109,4,4
2226,12.8,21,145,102,4,4
2468,22.7,191,50,109,2,4
2486,18.8,14,121,110,4,4
2347,17.4,79,77,101,6,4
2113,20.7,191,108,100,2,4
2008,18.9,200,82,114,1,4
2951,20.7,48,222,106,7,4
1771,9,7,87,108,3,4
784,2.7,216,130,112,4,4
848,2.2,143,141,106,3,4
3363,25.6,110,75,96,3,4
1844,10.2,152,173,108,6,4
2502,13.5,86,196,100,3,4
1636,14.3,38,102,112,7,4
1885,11.4,125,229,104,7,4
791,3.8,140,4,111,3,4
2136,5.8,133,77,111,4,4
2403,24.2,23,142,100,5,4
1114,9,168,112,110,1,4
2963,19.1,132,48,101,7,4
834,1.9,47,119,112,5,4
1589,14.6,15,140,97,2,4
2013,8.2,37,234,104,4,4
1094,7.3,247,141,96,5,4
1676,10.4,248,143,106,7,4
1837,13.9,119,231,100,2,4
2877,24.8,177,156,96,7,4
1590,4.9,113,146,107,7,4
2171,12.5,123,148,112,5,4
955,7.3,252,3,98,7,4
1771,11.9,164,171,105,6,4
2741,29.6,68,84,113,5,4
1099,4.2,170,7,111,5,4
928,2.4,190,49,100,3,4
2687,21.8,113,139,100,2,4
3805,45.4,17,79,113,4,4
1662,12.8,217,53,104,7,4
1078,8.6,222,123,97,4,4
1042,6.9,93,226,99,3,4
1061,5.5,215,180,103,4,4
2939,19,85,169,114,6,4
1452,12.8,74,197,113,5,4
1020,3.5,68,13,99,7,4
3298,39.4,84,248,97,6,4
987,2.3,87,249,102,6,4
1860,15.2,257,192,99,2,4
1958,13.4,22,233,105,1,4
3192,29.1,136,221,103,7,4
1260,3.5,225,85,100,7,4
1630,9.7,63,205,99,4,4
2398,21.8,214,194,113,2,4
2007,7,111,77,100,6,4
2239,14,111,95,101,7,4
2300,12.9,173,158,107,7,4
1481,6.1,246,157,104,4,4
1291,10.2,54,160,98,7,4
3481,36.5,121,44,114,6,4
1992,20.7,81,229,99,1,4
2343,22.1,259,124,106,3,4
2042,15.7,129,67,114,7,4
1542,7.6,238,148,100,5,4
2686,23,15,227,100,4,4
2073,19.3,65,185,114,5,4
1849,10.7,247,90,97,7,4
2944,19.7,203,246,100,3,4
2374,16.2,254,198,102,4,4
1995,13.3,133,172,111,7,4
866,5.1,28,93,113,6,4
963,8.9,74,57,103,6,4
1840,11.7,28,193,110,4,4
1072,11,175,219,105,7,4
2146,19.8,229,38,102,2,4
