trip_duration,trip_distance,PULocationID,DOLocationID,time_stamp,weekday,month
2723,25.9,32,155,61,6,1
2806,21.4,26,47,38,6,1
2333,18,35,75,59,6,1
1204,8.4,2,218,19,7,1
939,2.7,50,234,130,7,1
1478,10,182,229,138,6,1
1675,16.3,261,23,29,6,1
3029,30.3,156,131,109,6,1
1895,9.4,249,160,129,7,1
1620,13.1,207,124,90,7,1
1380,4.8,234,112,32,6,1
2107,17.1,101,162,72,7,1
1410,12.6,95,247,26,6,1
1548,11,239,213,51,6,1
2509,16.5,146,76,139,6,1
2069,14.4,237,9,65,6,1
914,6.2,173,15,21,7,1
2932,26.9,3,67,50,7,1
1965,16.7,121,241,68,7,1
3520,40.9,200,109,124,6,1
1982,14.7,191,193,121,6,1
1388,3.6,87,186,28,7,1
2007,14.4,262,188,34,6,1
1927,15,185,79,64,6,1
2682,12.1,26,143,95,6,1
1263,11.5,245,204,139,6,1
2668,34.3,41,99,139,6,1
1946,14.1,34,130,110,7,1
1167,13.8,64,194,102,7,1
1482,8.9,205,56,121,6,1
1724,20.1,253,240,32,7,1
2488,23.1,76,87,94,6,1
3680,42.1,208,84,25,7,1
1242,12.8,183,194,21,7,1
1347,9.1,235,223,13,6,1
2808,21.9,248,21,67,6,1
1299,13.6,131,60,76,6,1
1824,17.7,210,38,39,6,1
1683,12.3,195,172,56,6,1
1444,8.9,65,22,22,6,1
1696,6.7,181,90,17,7,1
2744,25.9,99,255,61,6,1
1712,5.3,50,148,66,6,1
993,6.7,207,126,78,6,1
1187,7.5,107,42,84,6,1
4188,36.6,3,109,99,7,1
1084,10.2,19,258,15,7,1
2645,26.2,6,86,51,7,1
1234,6.3,233,159,79,7,1
2446,20.9,254,195,64,6,1
765,2.3,116,74,70,6,1
2633,15.4,85,168,10,6,1
1075,7.7,194,182,37,6,1
1469,12.3,192,174,40,7,1
989,6.6,209,111,0,7,1
1518,6.6,86,139,113,7,1
2563,21.3,76,20,19,7,1
1403,7.9,216,82,120,6,1
753,3.2,87,4,143,7,1
2385,17.4,162,35,105,6,1
700,2.6,20,185,106,7,1
2439,21.3,111,84,37,6,1
1392,8.1,78,24,53,6,1
1758,4.8,227,49,91,6,1
2717,15.3,14,152,98,7,1
1381,6.6,228,66,65,6,1
378,0.7,229,162,6,7,1
894,2.2,137,249,7,7,1
509,1.6,61,177,29,7,1
2292,16.2,129,26,7,6,1
1651,11.5,226,215,86,6,1
3768,32.9,15,109,113,6,1
1028,2.6,68,142,49,6,1
3902,24,110,151,84,7,1
1473,15.2,184,260,19,6,1
1970,12.2,173,40,124,7,1
1601,6.1,255,263,127,7,1
1717,6.3,190,114,89,6,1
2052,18.2,34,254,59,6,1
1236,7.6,241,168,21,6,1
2532,17.9,110,209,39,6,1
1788,11.7,93,90,9,6,1
2265,17.4,71,115,49,7,1
2469,16.3,48,214,53,7,1
1916,14.4,45,171,11,7,1
1413,7.6,159,170,89,6,1
938,6.8,175,92,46,7,1
2095,19.6,27,52,30,6,1
715,3.8,248,18,40,7,1
2566,16.8,21,43,82,6,1
2618,33.5,47,99,77,7,1
2967,35.3,219,44,138,6,1
856,8.4,194,253,78,6,1
2746,21.4,248,227,102,7,1
1569,13.2,31,134,38,7,1
3316,15.3,124,143,79,6,1
1075,3.7,142,193,72,6,1
1439,14.2,184,191,105,7,1
2275,7.7,72,231,126,7,1
1467,7.8,25,229,131,6,1
2187,16.8,32,66,110,7,1
2837,29.8,195,81,0,7,1
2201,19,131,13,66,6,1
2427,17,109,40,70,6,1
2460,17.9,88,109,93,7,1
3530,35.8,44,173,94,7,1
2448,12.1,89,239,27,6,1
1357,10.5,222,21,110,6,1
1940,5.9,256,63,95,6,1
2163,22.9,65,46,137,6,1
1258,8,48,120,25,6,1
4204,51.8,40,17,135,7,1
2167,16.6,130,169,68,7,1
1626,6.3,190,108,74,7,1
910,4.9,119,153,22,6,1
1195,9.6,60,192,93,7,1
1862,13.1,55,65,10,7,1
2328,18.2,26,194,35,6,1
2421,20.7,51,34,128,7,1
1789,18.6,240,121,33,6,1
1608,10.5,80,28,49,6,1
839,3.9,76,216,39,6,1
1417,10.6,7,174,71,6,1
1824,13.1,39,95,16,7,1
1662,7.4,10,102,47,6,1
1979,17.8,34,18,24,7,1
1002,7.5,131,82,86,6,1
2777,22.1,241,72,33,6,1
933,3.8,106,87,91,6,1
2850,17,249,10,104,7,1
2724,26.1,67,122,79,6,1
695,2.7,162,193,35,7,1
1667,5.1,61,195,22,6,1
2193,13.4,168,190,26,7,1
1811,13.3,126,261,86,7,1
2468,27.7,8,23,70,7,1
1570,11.3,148,120,125,7,1
2066,22.2,131,155,64,6,1
2310,16.7,184,100,77,7,1
2075,15.3,196,94,25,7,1
1728,15.2,23,65,57,7,1
2185,22.9,52,200,123,7,1
2732,25.3,133,259,79,7,1
1738,15.1,78,12,65,7,1
1278,9.5,96,154,97,6,1
1972,14.2,216,164,88,7,1
2213,12.5,189,172,107,6,1
2769,27.6,118,10,30,6,1
1749,14,253,52,81,7,1
3247,28.1,165,51,25,6,1
2177,9.7,256,151,14,7,1
1931,13,53,76,71,6,1
2756,27.6,59,55,33,7,1
789,4.6,175,171,108,7,1
1357,5.1,189,21,78,6,1
3133,23.8,125,132,55,6,1
1449,4.4,37,76,70,6,1
2728,23.8,39,59,42,6,1
906,5.4,83,164,121,7,1
1759,11.5,36,75,50,6,1
2397,22.7,16,13,73,7,1
2120,11.4,199,249,87,7,1
834,5.1,121,16,128,6,1
2721,25.1,118,8,53,7,1
2598,24.1,11,122,74,6,1
1622,13.9,13,120,51,6,1
1883,16.2,257,253,49,6,1
1987,13.3,188,253,113,6,1
1317,10.8,122,58,28,6,1
2451,24.3,138,251,46,6,1
2255,14.4,162,22,96,7,1
2174,16.9,39,70,73,7,1
2659,12.4,227,142,19,7,1
1129,6.3,229,256,67,6,1
3254,27.8,123,185,57,7,1
1193,10.2,64,242,82,7,1
2688,25.7,154,78,115,7,1
1655,15.3,240,145,17,7,1
1676,9.1,223,163,132,6,1
1938,17.1,19,116,35,6,1
899,10.4,8,184,141,6,1
2308,18,91,86,89,6,1
1738,9.2,2,177,116,7,1
3152,35.5,172,120,105,6,1
1577,7.6,157,124,136,7,1
1191,6,197,222,105,6,1
1060,2.8,35,63,19,6,1
1174,10.9,98,212,9,7,1
853,2.8,114,256,30,6,1
2235,20,243,218,109,6,1
2768,26.6,127,55,86,7,1
1099,6.8,195,148,105,7,1
842,5.9,136,200,135,7,1
2736,23.1,117,58,20,7,1
2522,21.6,6,41,56,6,1
2968,25.5,111,46,12,7,1
3137,33.6,96,1,52,6,1
2218,16.8,123,134,8,6,1
1695,10.2,36,175,83,7,1
1262,9.5,141,128,47,6,1
