trip_duration,trip_distance,PULocationID,DOLocationID,time_stamp,weekday,month
1073,8,239,47,58,5,9
1865,13.8,219,226,12,2,9
1423,16,38,184,10,3,9
2171,16.1,10,170,59,4,9
987,3.8,254,78,56,7,9
796,2.1,121,28,109,3,9
2467,19.2,203,229,138,7,9
2129,15.8,29,49,96,2,9
2427,24.9,23,74,108,3,9
2097,16.1,147,195,12,2,9
3613,39,5,159,9,3,9
442,1.1,151,238,128,6,9
1939,17.6,140,219,58,1,9
2194,16.8,80,108,54,4,9
2915,17.4,187,225,71,1,9
2360,17.8,96,151,21,2,9
1438,8.2,207,152,51,4,9
1039,8.4,70,9,51,6,9
1269,8.2,127,141,67,7,9
1552,8.7,94,151,142,3,9
1481,10,263,217,44,7,9
1063,7.8,76,203,132,5,9
2440,12.9,193,85,142,3,9
1404,8,69,185,118,3,9
1773,13,54,41,17,1,9
3021,26.8,81,71,82,6,9
3035,27.5,126,150,122,4,9
1010,2.4,114,170,37,1,9
1015,6,32,200,66,2,9
1475,12.8,107,131,124,1,9
2721,14.2,190,122,7,5,9
2441,21.8,228,102,25,5,9
1892,18.3,79,251,59,2,9
2975,24.7,43,210,53,3,9
1052,6.7,40,148,19,4,9
3309,24,109,164,129,7,9
2085,12.2,180,229,45,5,9
2117,15,251,249,127,5,9
2606,19.6,94,35,102,2,9
2423,23.1,201,138,116,1,9
1514,6,24,158,31,1,9
2101,14.8,158,182,105,7,9
1587,11.5,224,21,100,6,9
1020,2.9,49,255,113,2,9
1743,13.7,107,20,87,4,9
2289,15.6,14,236,89,7,9
2513,18.9,226,172,78,7,9
817,2.7,253,53,101,4,9
1635,6.4,33,246,65,2,9
1646,12.6,210,258,24,3,9
1825,15.6,158,29,103,1,9
3010,26.2,165,183,94,5,9
2036,10.6,198,261,131,4,9
2166,13.5,98,237,48,5,9
1809,15.6,65,136,19,1,9
3222,28.5,184,22,18,6,9
1620,13.5,69,16,102,7,9
1234,3.2,113,48,119,5,9
2307,18.3,181,127,74,6,9
1831,14.4,131,86,84,3,9
1933,15.9,257,42,100,5,9
2887,21.9,128,14,45,6,9
1203,6.4,146,253,11,4,9
896,2.2,68,211,122,4,9
3162,26.5,221,9,32,6,9
1175,6.7,9,205,116,5,9
1381,8,14,210,29,6,9
2524,26.2,48,118,69,6,9
2854,24,84,85,122,1,9
772,3.6,8,41,111,2,9
1698,15.6,15,229,139,3,9
717,2.5,180,96,136,2,9
1460,14.1,18,98,128,4,9
1696,14.7,135,54,142,6,9
1910,17.6,50,46,101,6,9
1692,10.3,192,62,26,4,9
1665,9.3,167,239,33,2,9
2022,15.1,2,253,116,3,9
1698,10.8,210,227,100,7,9
983,3.6,7,141,143,4,9
808,3,258,124,122,7,9
1678,11.3,251,21,119,5,9
1637,13.8,120,56,77,3,9
1187,6.6,43,8,80,1,9
2265,15.1,237,165,117,6,9
1073,7.1,112,70,1,2,9
3548,27.6,117,246,109,7,9
1791,7.2,178,61,98,2,9
1232,6.2,107,80,39,7,9
1687,14.2,201,67,79,1,9
2016,15.4,109,1,120,4,9
1381,12.2,220,138,105,4,9
761,5.2,124,132,42,7,9
1071,10.9,157,208,121,5,9
1899,14.3,159,54,15,1,9
2391,18.3,246,210,30,6,9
