trip_duration,trip_distance,PULocationID,DOLocationID,time_stamp,weekday,month
1571,13.5,9,164,138,1,4
1081,7.3,166,248,131,7,4
2519,18.2,61,47,133,2,4
1545,8.8,173,205,136,4,4
646,2,7,202,131,7,4
2255,21.2,214,258,134,4,4
1245,7.9,237,261,128,4,4
959,5.4,223,126,134,1,4
1520,6.2,88,230,128,5,4
1438,5.9,76,196,129,4,4
1788,15.2,58,63,138,6,4
2398,14.2,21,161,135,7,4
1430,11.5,220,129,136,7,4
2433,25.5,135,210,129,4,4
2625,21.2,251,162,133,2,4
1473,9.4,217,67,135,1,4
546,2.4,233,145,130,6,4
1017,6.8,15,122,135,1,4
776,4.2,13,79,134,2,4
1772,11.2,183,166,129,5,4
2847,29.5,139,156,134,5,4
2367,24.4,64,108,134,3,4
2809,20.8,161,206,127,1,4
1884,12.3,191,225,131,2,4
2305,20.5,207,91,135,6,4
2040,19.7,222,74,133,3,4
1441,7.9,60,236,133,6,4
1804,16.6,168,133,134,7,4
2081,13.3,167,49,130,1,4
2911,23,206,129,126,1,4
405,1.1,49,97,135,3,4
1206,7.1,253,28,130,6,4
2244,18.3,55,157,133,5,4
1643,15.6,224,200,137,7,4
2146,15.7,134,151,129,2,4
1188,3.8,87,49,129,4,4
1172,3.4,25,148,128,7,4
958,6.7,70,196,126,3,4
1137,8.9,1,23,138,6,4
1876,7.9,198,161,130,2,4
1699,7.9,181,80,137,7,4
2164,6.1,113,37,134,2,4
1203,3.6,88,97,137,3,4
1375,13.5,240,83,138,1,4
1111,7.3,229,33,130,6,4
1992,13.9,255,169,136,2,4
1840,10.1,20,202,136,2,4
578,1.6,146,202,138,1,4
1178,7.2,196,129,128,5,4
2842,30.8,44,142,134,6,4
890,2.2,169,60,128,6,4
649,1.3,231,88,134,6,4
3569,27.3,201,143,131,1,4
1133,6.8,145,12,134,3,4
1366,8.5,176,44,131,7,4
1083,8.9,145,253,135,7,4
2393,18,139,164,128,1,4
1901,10.2,188,170,126,7,4
2244,10.7,21,90,131,7,4
1417,8.6,67,65,133,6,4
1137,4.2,77,124,133,3,4
1060,7.6,243,58,131,7,4
1606,11,238,253,127,2,4
881,3.6,124,258,137,5,4
1406,13.1,209,212,138,7,4
2538,17.5,77,230,136,1,4
1656,9.3,58,116,137,4,4
2246,11.4,211,102,138,5,4
742,1.6,69,147,133,1,4
838,5.8,169,208,136,7,4
2844,23.8,201,211,135,7,4
1332,9.3,253,31,127,6,4
748,7,81,259,130,3,4
2150,13.4,145,22,131,4,4
2226,12.8,21,145,132,4,4
2468,22.7,191,50,131,2,4
2486,18.8,14,121,135,4,4
2347,17.4,79,77,128,6,4
2113,20.7,191,108,132,2,4
2008,18.9,200,82,127,1,4
2951,20.7,48,222,132,7,4
1771,9,7,87,133,3,4
784,2.7,216,130,136,4,4
