trip_duration,trip_distance,PULocationID,DOLocationID,time_stamp,weekday,month
2723,25.9,32,155,55,4,1
2806,21.4,26,47,90,1,1
2333,18,35,75,102,3,1
1204,8.4,2,218,25,4,1
939,2.7,50,234,47,1,1
1478,10,182,229,8,3,1
1675,16.3,261,23,32,4,1
3029,30.3,156,131,72,1,1
1895,9.4,249,160,7,1,1
1620,13.1,207,124,30,1,1
1380,4.8,234,112,10,5,1
2107,17.1,101,162,91,1,1
1410,12.6,95,247,79,5,1
1548,11,239,213,8,2,1
2509,16.5,146,76,124,4,1
2069,14.4,237,9,138,4,1
914,6.2,173,15,128,5,1
2932,26.9,3,67,81,1,1
1965,16.7,121,241,73,4,1
3520,40.9,200,109,143,1,1
1982,14.7,191,193,91,5,1
1388,3.6,87,186,60,5,1
2007,14.4,262,188,26,4,1
1927,15,185,79,34,2,1
2682,12.1,26,143,86,2,1
1263,11.5,245,204,11,3,1
2668,34.3,41,99,69,2,1
1946,14.1,34,130,81,2,1
1167,13.8,64,194,39,3,1
1482,8.9,205,56,73,1,1
1724,20.1,253,240,18,3,1
2488,23.1,76,87,28,5,1
3680,42.1,208,84,130,1,1
1242,12.8,183,194,61,5,1
1347,9.1,235,223,47,3,1
2808,21.9,248,21,33,3,1
1299,13.6,131,60,91,2,1
1824,17.7,210,38,142,3,1
1683,12.3,195,172,27,1,1
1444,8.9,65,22,9,5,1
1696,6.7,181,90,8,1,1
2744,25.9,99,255,77,2,1
1712,5.3,50,148,98,3,1
993,6.7,207,126,127,2,1
1187,7.5,107,42,76,2,1
4188,36.6,3,109,81,2,1
1084,10.2,19,258,107,5,1
2645,26.2,6,86,57,1,1
1234,6.3,233,159,108,5,1
2446,20.9,254,195,79,1,1
765,2.3,116,74,46,1,1
2633,15.4,85,168,31,1,1
1075,7.7,194,182,60,2,1
1469,12.3,192,174,24,2,1
989,6.6,209,111,109,5,1
1518,6.6,86,139,60,4,1
2563,21.3,76,20,2,1,1
1403,7.9,216,82,10,3,1
753,3.2,87,4,12,2,1
2385,17.4,162,35,142,4,1
700,2.6,20,185,98,2,1
2439,21.3,111,84,132,4,1
1392,8.1,78,24,4,4,1
1758,4.8,227,49,114,2,1
2717,15.3,14,152,13,4,1
1381,6.6,228,66,40,4,1
378,0.7,229,162,114,3,1
894,2.2,137,249,26,2,1
509,1.6,61,177,50,5,1
2292,16.2,129,26,48,1,1
1651,11.5,226,215,19,4,1
3768,32.9,15,109,130,5,1
1028,2.6,68,142,139,4,1
3902,24,110,151,45,1,1
1473,15.2,184,260,118,1,1
1970,12.2,173,40,78,4,1
1601,6.1,255,263,16,1,1
1717,6.3,190,114,89,4,1
2052,18.2,34,254,68,1,1
1236,7.6,241,168,51,4,1
2532,17.9,110,209,99,2,1
1788,11.7,93,90,10,2,1
2265,17.4,71,115,29,5,1
2469,16.3,48,214,88,4,1
1916,14.4,45,171,117,2,1
1413,7.6,159,170,87,2,1
938,6.8,175,92,15,3,1
2095,19.6,27,52,92,3,1
715,3.8,248,18,64,2,1
2566,16.8,21,43,142,5,1
2618,33.5,47,99,39,1,1
2967,35.3,219,44,131,2,1
856,8.4,194,253,109,5,1
2746,21.4,248,227,55,4,1
1569,13.2,31,134,98,4,1
3316,15.3,124,143,48,1,1
1075,3.7,142,193,66,1,1
1439,14.2,184,191,22,4,1
2275,7.7,72,231,101,2,1
1467,7.8,25,229,125,5,1
2187,16.8,32,66,102,3,1
2837,29.8,195,81,124,1,1
2201,19,131,13,67,5,1
2427,17,109,40,47,2,1
2460,17.9,88,109,133,4,1
3530,35.8,44,173,138,5,1
2448,12.1,89,239,126,5,1
1357,10.5,222,21,75,4,1
1940,5.9,256,63,113,3,1
2163,22.9,65,46,18,1,1
1258,8,48,120,103,2,1
4204,51.8,40,17,43,5,1
2167,16.6,130,169,13,3,1
1626,6.3,190,108,113,2,1
910,4.9,119,153,36,1,1
1195,9.6,60,192,101,3,1
1862,13.1,55,65,45,2,1
2328,18.2,26,194,6,5,1
2421,20.7,51,34,87,1,1
1789,18.6,240,121,123,4,1
1608,10.5,80,28,109,2,1
839,3.9,76,216,32,3,1
1417,10.6,7,174,50,3,1
1824,13.1,39,95,16,3,1
1662,7.4,10,102,132,2,1
1979,17.8,34,18,128,5,1
1002,7.5,131,82,31,3,1
2777,22.1,241,72,131,1,1
